"","Gender","Age","Education_lev","fluidIQ","freq_calls","freq_Tools","freq_Finance","freq_Games","freq_Entertainment","freq_Productivity","freq_Personalization","freq_News...Magazines","freq_Unknown","freq_Photography","freq_Shopping","freq_Communication","freq_Books...Reference","freq_Travel...Local","freq_Music...Audio","freq_Medical","freq_Education","freq_Business","freq_Lifestyle","freq_Transportation","freq_Weather","freq_Sports","freq_Browser","freq_Health...Fitness","freq_Media...Video","freq_Social","freq_Comics","dur_calls","dur_Tools","dur_Finance","dur_Games","dur_Entertainment","dur_Productivity","dur_Personalization","dur_News...Magazines","dur_Unknown","dur_Photography","dur_Shopping","dur_Communication","dur_Books...Reference","dur_Travel...Local","dur_Music...Audio","dur_Medical","dur_Education","dur_Business","dur_Lifestyle","dur_Transportation","dur_Weather","dur_Sports","dur_Browser","dur_Health...Fitness","dur_Media...Video","dur_Social","dur_Comics","Emotional Stability"
"117","1","27","5","1.368","134","886","0","13","44","130","0","191","16","2","512","1307","7","63","25","0","0","33","9","2","1","384","875","23","10","127","0","68.0522388059701","3.88892254207402","0","254.333333333333","132.029938415947","20.7460526274169","0","82.9471758101011","2.92523597865901","53","33.4021218154886","11.257619202804","82","39.7155664836451","10.6533495270498","0","0","36.4191126765442","65","0","14","30.6433431941865","65.1535394316987","17.3","55.8002227423176","13.6018377733542","0","1"
"118","1","23","5","1.3298","31","247","0","185","21","729","0","14","36","459","0","3754","8","0","23","0","0","19","30","0","38","0","468","99","30","10","0","0","11.2250171768691","0","64.6922338731609","38.4444444444444","9.05799337158024","0","24","2.52480991578425","27.5085879179505","0","50.7828785128855","0","0","6.34589065663631","0","0","27.7818536601826","47.4080371096275","0","22.6816821947503","0","66.5670454170264","5.01798227679874","23.8640364083808","0","0","0"
"119","2","40","4","1.5039","149","83","0","0","39","39","0","0","7","66","0","620","10","48","3","0","6","7","0","47","27","5","62","0","4","0","0","37.2818791946309","23.0116153367314","0","0","800.921008378061","32.655289347958","0","0","4.81505802168736","27.4520274568101","0","71.8421341714537","552.5","134.367537166631","34","0","6.65334817433166","117.571428571429","0","100.360241297214","19.6000353224909","16","156.074907933184","0","0","0","0","1"
"120","2","22","4","0.8666","305","129","0","83","0","68","0","4","5","64","0","1650","2","17","41","0","2","0","11","72","0","2","294","0","40","6","0","80.3311475409836","15.1663671221322","0","215.99432436654","0","19.8722434063129","0","0","2.42614319176472","17.2483817477852","0","32.133460660555","0","67.3894025523274","28.3822876976685","0","93","0","87","50.2362830910092","0","0","123.434013388737","0","490.832947112738","0","0","1"
"121","2","19","4","0.9547","627","1137","359","519","98","256","0","21","763","507","111","6092","43","47","87","35","4","112","10","210","0","0","659","9","17","2080","0","113.188197767145","3.25891976000833","22.1787792734636","118.901202723305","89.5399164934853","12.3469188405742","0","2","2.11883523322424","6.46908201168377","45.3205994961835","19.6743015730607","38.9236132643042","53.4614403237077","10.2852181091888","3.66074731498252","5.97003341134764","24.2888402907863","70.8","37.6672435252146","0","0","59.3989106661915","12.6167210977951","39.4","101.118180579922","0","0"
"122","2","23","4","0.9769","176","246","0","30","31","65","0","15","7","42","1","1493","14","31","196","48","0","1","20","78","0","0","274","120","19","879","0","43.5795454545455","11.6916549519612","0","350.637954393056","191.689839841656","15.3575124528075","0","4","3.78809739370455","43.7779238554602","0","24.3839781053845","23.8428772673416","53.8455487446409","14.2758747458229","4.65543038641333","0","27","0","47.5528035446266","0","0","54.0818843901949","6.09459366009091","20.2400511819492","46.9481330763828","0","0"
"123","2","32","5","0.8407","1172","33","0","0","0","364","0","0","20","49","0","1448","0","0","3","0","0","10","0","0","73","0","185","0","7","0","0","87.0068259385665","12.8052401278984","0","0","0","4.37365590382866","0","0","8.54648254109792","19.3600517686466","0","5.06019566718779","0","0","3","0","0","93.9089976778184","0","0","10.4924769003343","0","153.897161955414","0","28","0","0","1"
"124","1","41","4","0.8845","1001","94","0","10","4","146","0","11","9","11","0","2136","4","116","57","0","0","10","0","4","0","0","12","0","16","10","0","96.3466533466533","18.2545405294677","0","0","0","25.9006102595666","0","80","3.54669373034555","10.5454545454545","0","28.5896408291353","0","36.9887602553022","30.5767766045672","0","0","0","0","0","0","0","10.4700334113476","0","0","0","0","1"
"125","2","25","4","-0.0122","275","283","0","15","30","37","0","12","3","135","0","2427","10","56","22","0","0","1","0","0","0","0","194","0","13","164","0","247.490909090909","15.3373430180715","0","430.81132531679","163.298244222451","23.0985278490787","0","0","2.90839851001781","35.5087805445084","0","39.3615261836976","2","51.4392482597034","3.88202135325958","0","0","144","0","0","0","0","80.023738099319","0","24.7200263550611","66.0555051230195","0","0"
"126","2","25","5","0.5943","461","195","47","0","22","118","0","8","22","425","0","3071","34","140","87","54","33","13","26","165","22","0","496","26","4","122","0","75.1258134490239","20.6776765695348","13.3579720109422","0","70.2192849230431","25.3782365698481","0","0","2.79753924290345","11.7019754202774","0","18.4173931574395","38.9467247357041","38.783392619482","22.7549129217808","2","25.6522394201347","52.1419676751074","16.1619260282135","38.1585502448807","30.3889520629521","0","56.5536553885866","39.0246141194847","0","52.7681697647966","0","1"
"127","2","19","4","0.2617","221","186","13","116","52","55","0","13","11","73","25","1329","3","26","33","0","0","5","0","40","0","0","287","0","34","416","0","135.316742081448","23.8018028702715","41.2727272727273","269.771305155882","421.055246418502","24.1770280206647","0","35.8801336453906","3.9508366794912","23.0465896470809","46.9358525075251","37.2340034636974","11","121.845647376584","11.7150359894835","0","0","48.6","0","68.7365166252941","0","0","73.2726104713104","0","151.875","99.0460517048819","0","1"
"128","2","19","4","1.8813","75","201","0","440","6","424","0","0","18","185","0","3694","75","10","30","0","55","7","0","197","8","0","655","0","15","0","0","6.58666666666667","19.1947017146649","0","114.796537648557","0","21.5022286560706","0","0","2.78114822487037","18.5755216593386","0","32.4333916518882","19.2516786408842","62.2830194979701","10.2938626058429","0","83.1312922819601","7.58401943755716","0","36.6790536501781","4.1880143080078","0","76.3304554471166","0","37.9508157976409","0","0","1"
