,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics
99,1,22,3,-0.1248,605,361,82,12,73,82,0,38,7794,214,311,5264,96,47,300,0,6,6,320,42,53,2413,631,0,7,2461,0,29.92396694,10.68947322,44.88361737,154.12035830000002,95.01866334,22.36457774,0.0,91.14481615,3.24073577,19.69936185,33.9541966,23.04144441,69.5017948,41.06666667,17.28213546,0.0,31.33333333,29.5,45.94342135,38.38467378,4.833471543,24.64933932,43.08903453,0.0,76.66666667,32.03129091,0.0
115,1,18,4,1.4207,318,751,45,765,294,925,18,21,89,94,14,2775,46,90,249,0,38,19,28,246,0,5,633,2,7,487,0,93.36163522,16.63401972,62.36561387,174.62447419999998,72.87306612,15.69683747,39.40369328,117.1203183,3.7529684660000004,19.92576419,69.0,35.4948404,29.63470277,30.77518009,21.21676058,0.0,48.58348445,193.45379509999998,30.76002453,48.14395146,0.0,54.66666667,55.68415767,0.0,4.0,45.17986777,0.0
50,1,20,4,0.6562,67,209,0,0,30,1363,0,75,80,967,0,1488,60,59,310,0,0,35,88,124,0,0,604,0,2,66,0,0.0,13.44967709,0.0,0.0,125.3503561,30.46372362,0.0,116.71186229999999,5.317411075,4.125052769,0.0,37.41987728,35.78842255,71.00422369,10.7261177,0.0,0.0,28.55209508,85.18086748,54.66403597,0.0,0.0,70.18367702,0.0,0.0,111.22862190000001,0.0
53,2,24,5,0.7257,276,192,9,83,33,206,0,13,56,54,0,1349,5,20,31,0,0,0,73,60,1,0,250,2,3,284,0,44.82246377,13.07624702,43.85005973,423.8535041,122.0791456,19.81681315,0.0,55.39511882,5.193358755,34.41087976,0.0,34.79303496,4.0,63.75785674,31.61371032,0.0,0.0,0.0,146.603153,67.31322978,8.0,0.0,110.2987926,50.0,2.0,138.3588771,0.0
134,2,22,4,2.4032,203,145,0,89,41,49,0,0,1673,141,0,1471,2,20,7,0,0,0,0,8,6,0,124,0,4,126,0,54.63054187,15.63005192,0.0,382.61775550000004,74.16154698,27.18773795,0.0,0.0,2.311368626,27.00236862,0.0,31.21254273,0.0,5.480024444,73.0,0.0,0.0,0.0,0.0,72.16666667,7.333333333,0.0,107.5714195,0.0,0.0,58.38010315,0.0
95,2,22,4,0.3459,130,745,0,42,186,35,0,10,148,111,8,1286,5,23,2,0,0,3,8,28,9,0,352,0,4,1177,0,184.1461538,14.12244822,0.0,442.74817889999997,279.23188860000005,20.56243782,0.0,0.0,2.637792878,36.96228874,60.45727061,23.90204375,6.0,55.97457567,0.0,0.0,0.0,2.0,36.5,58.29167341,25.55555556,0.0,66.95277564,0.0,0.0,62.35287959,0.0
94,2,24,5,1.1517,50,310,0,3,9,88,0,4,43,29,0,849,18,35,10,0,9,32,0,26,17,0,102,0,63,0,0,0.0,37.3362985,0.0,252.74140330000003,12.0,25.34536702,0.0,0.0,19.46136154,17.46323273,0.0,61.7779256,54.19224534,40.44876485,130.6,0.0,20.85714437,186.13383269999997,0.0,80.29066147,12.97431635,0.0,105.4545636,0.0,109.0188679,0.0,0.0
111,2,21,4,-0.5453,78,476,0,7,42,111,0,1,41,201,37,2874,7,40,73,0,0,27,700,174,28,13,242,0,40,1408,0,1.5,16.18030737,0.0,5.490012237,56.31298941,16.69178111,0.0,4.0,3.5274756660000004,23.59430857,84.32209114,38.77404108,29.6,55.88342363,6.560007213,0.0,0.0,49.97174267,50.48743269,41.69743005,40.86453647,38.53605985,38.01187309,0.0,59.06373434,42.9690623,0.0
74,2,18,4,0.5404,1055,343,9,4,70,251,0,48,45,238,18,4599,4,84,123,0,0,110,8,60,5,18,524,2,99,2999,0,43.36113744,20.55907162,5.333333333,381.0,142.1982564,33.51869357,0.0,44.17082393,3.007555315,29.94550278,73.25261738,16.57406024,0.0,49.24001552,35.76983077,0.0,0.0,34.10795983,7.788014535,40.30102708,13.6,48.92879567,70.21218699,0.0,20.491835199999997,39.12572833,0.0
40,2,23,4,2.4034,471,544,0,172,43,494,0,20,70,121,0,3750,2,266,16,47,0,28,2,119,2,6,612,2,7,809,0,133.6815287,16.45441417,0.0,283.2923773,73.08533289,22.4064694,0.0,0.0,3.630879445,43.77597042,0.0,18.20102451,0.0,55.00074317,35.0,2.0,0.0,77.08779302,0.0,62.42299779,3.5,127.0998886,64.18771989,0.0,152.0,51.56239677,0.0
31,2,21,4,0.498,121,362,3,448,275,40,0,40,62,42,1,2110,4,11,34,0,5,23,0,63,1,27,162,0,23,548,0,0.0,17.41791084,49.0,66.35928285,52.74598220000001,14.08001186,0.0,27.75756489,3.3759914810000002,37.22831057,0.0,31.01660092,0.0,44.0,6.974313874,0.0,113.25,46.39432615,0.0,57.44071912,32.0,32.97530273,67.36985739,0.0,55.14854273,112.6804581,0.0
11,1,20,4,1.1349,51,1505,0,100,2,142,0,90,15,52,5,841,2,17,72,0,14,5,0,18,0,23,202,0,0,0,0,17.82352941,7.946221414,0.0,92.21908468,0.0,28.35404732,0.0,101.17238470000001,5.354290279,25.90870845,146.0,94.20891591,0.0,82.12628076,7.110014087000001,0.0,108.3351983,12.97003341,0.0,70.50000546,0.0,75.34212990000002,91.61849455,0.0,0.0,0.0,0.0
37,1,21,4,0.9459,362,2836,0,507,46,64,8,4,20,34,0,2089,11,89,63,0,1,5,0,0,0,0,564,3,4,229,0,184.1740331,2.287255446,0.0,84.22611749,73.66021540000001,14.37949082,8.313357127,0.0,3.717782686,6.260011034,0.0,30.02647425,16.94007059,38.89621532,19.11309068,0.0,0.0,157.5,0.0,0.0,0.0,0.0,48.79899842,0.0,0.0,41.06301614,0.0
9,2,21,4,0.259,37,204,0,387,23,269,0,84,19,126,91,2086,17,21,15,75,0,11,7,316,2,0,446,6,14,95,0,241.86486490000001,9.991115875,0.0,366.9015221,18.60673837,15.44263461,0.0,79.57480968,3.507751075,24.26108448,115.4935021,37.60315129,47.04004995,33.57142857,71.18181818,7.461809137,0.0,20.45505281,28.93507239,50.76166068,0.0,0.0,53.72271553,65.86515532,12.09113414,34.76515632,0.0
132,2,22,5,0.3392,42,614,0,3,65,46,18,9,17,119,0,3144,0,39,158,0,8,1,0,59,76,22,182,0,0,1856,0,341.5,20.8424797,0.0,148.0,52.1779308,16.1533407,72.31146581,75.66666667,4.846273817,39.62591622,0.0,38.10434048,0.0,49.696492299999996,9.074864024,0.0,39.33333333,82.0,0.0,55.89756113,31.25446223,42.41666667,71.46387077,0.0,0.0,52.60055246,0.0
62,2,20,5,-0.4407,330,256,0,0,2,46,0,0,16,126,2,2719,14,13,0,0,0,11,0,15,0,0,32,0,0,774,0,74.58181818,21.7157995,0.0,0.0,15.0,13.00108295,0.0,0.0,3.300916763,20.24200262,29.0,32.03339114,100.1138698,49.75606355,0.0,0.0,0.0,94.68813054,0.0,43.38461884,0.0,0.0,61.68939487,0.0,0.0,154.8518615,0.0
91,2,22,4,0.6379,241,177,0,4,125,339,0,13,34,25,16,1549,9,117,18,0,0,66,29,9,0,0,271,0,7,165,0,29.53941909,19.44118719,0.0,0.0,40.22055446,50.57077655,0.0,122.2883825,5.3315807930000005,23.20637329,57.02608998,29.91431137,29.0,60.42507975,30.95005184,0.0,0.0,45.82318979,32.303376899999996,66.66666667,0.0,0.0,76.31537752,0.0,112.0,48.61076887,0.0
