,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,mydatatest.avg_duration_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics,Emotional Stability
109,1.0,21.0,4.0,0.5786,226.0,122.0,50.0,127.0,40.0,31.0,0.0,260.0,36.0,53.0,24.0,2477.0,6.0,35.0,104.0,0.0,5.0,32.0,59.0,51.0,18.0,370.0,196.0,2.0,25.0,6.0,0.0,61.8628318584071,5.62109706289248,25.9887789856689,45.3529652777582,69.9654924309161,20.0571761213004,0.0,61.2277184174909,2.66527227852215,14.5638464321646,2.66666666666667,15.5761605803624,1.5,50.3846153846154,17.1951483890927,0.0,130.6,23.7473960240494,22.1826720444019,40.0089278285277,7.80375623077444,45.1010749555839,42.8870778134716,45.5,74.7142857142857,0.0,0.0,0
110,1.0,23.0,4.0,3.0946,170.0,27.0,0.0,0.0,49.0,25.0,0.0,146.0,1.0,63.0,2.0,2482.0,2.0,12.0,2.0,0.0,189.0,0.0,0.0,11.0,0.0,0.0,107.0,10.0,2.0,39.0,0.0,204.717647058824,21.1231017365084,0.0,0.0,187.729944022255,13.2577998219385,0.0,2.0,1.90449858130625,16.0340310010942,0.0,30.1942674939832,0.0,30.0,0.0,0.0,9.87773447914315,0.0,0.0,56.4068232955316,0.0,0.0,43.8645386940851,38.4444444444444,0.0,32.5454545454545,0.0,1
111,1.0,26.0,5.0,0.5352,288.0,127.0,0.0,4.0,6.0,55.0,0.0,143.0,5.0,32.0,0.0,652.0,8.0,29.0,11.0,0.0,0.0,2.0,23.0,2.0,0.0,0.0,41.0,40.0,2.0,18.0,0.0,117.864583333333,41.1152566130482,0.0,0.0,0.0,20.7045686061413,0.0,90.8745035368181,4.69535318398655,22.0771663039284,0.0,13.3460407001717,0.0,54.3228907540859,12.0,0.0,0.0,14.0,29.024036842606,18.0,0.0,0.0,39.9510035292389,110.347557170482,0.0,0.0,0.0,1
112,2.0,21.0,4.0,-0.5453,78.0,476.0,0.0,7.0,42.0,111.0,0.0,1.0,41.0,201.0,37.0,2874.0,7.0,40.0,73.0,0.0,0.0,27.0,700.0,174.0,28.0,13.0,242.0,0.0,40.0,1408.0,0.0,1.5,16.1803073660644,0.0,5.49001223711334,56.312989406714,16.6917811060836,0.0,4.0,3.52747566634207,23.5943085655481,84.3220911408225,38.7740410776669,29.6,55.8834236347856,6.56000721286263,0.0,0.0,49.9717426663982,50.4874326907764,41.6974300490255,40.8645364662618,38.5360598515089,38.0118730947853,0.0,59.0637343369897,42.969062300567,0.0,1
113,1.0,25.0,5.0,1.2022,173.0,1041.0,0.0,30.0,63.0,116.0,4.0,6.0,737.0,141.0,19.0,1919.0,4.0,18.0,382.0,0.0,9.0,0.0,12.0,26.0,50.0,0.0,240.0,205.0,14.0,872.0,0.0,53.5317919075145,5.03909163889543,0.0,89.0072063578148,50.3136422492295,18.6247320781336,0.0,0.0,3.04062305322346,8.10243092842466,35.6537913016466,14.6978127925836,0.0,37.025066695892,7.05241931919547,0.0,273.865470646262,0.0,0.75,46.6348003404506,10.4214835754341,0.0,30.4098625096632,37.5995564196877,18.9372873962633,44.4660182293028,0.0,1
114,2.0,19.0,4.0,0.592,71.0,208.0,0.0,88.0,62.0,130.0,0.0,26.0,19.0,132.0,15.0,1591.0,2.0,52.0,123.0,0.0,0.0,0.0,159.0,34.0,1.0,38.0,505.0,104.0,17.0,1351.0,2.0,0.0,18.0744017831159,0.0,1148.88536472953,91.0965658708379,24.2111732460454,0.0,124.201592420395,4.75273527853768,26.1372614482535,98.6462596468376,53.2678023332687,0.0,46.500555486798,15.2366109432801,0.0,0.0,0.0,17.8800475596068,61.161385244401,21.0,49.2000314826418,48.3991485930356,69.0891000030739,35.2978138480434,73.1344101360481,0.0,1
115,1.0,21.0,4.0,0.6111,44.0,399.0,3.0,653.0,71.0,358.0,0.0,96.0,92.0,200.0,27.0,633.0,104.0,89.0,26.0,3.0,50.0,10.0,216.0,23.0,4.0,1.0,450.0,290.0,32.0,2282.0,0.0,23.5,18.3616723351027,12.0,70.5852451516176,58.7322231763823,14.4378036873723,0.0,158.668873649906,3.54565223109203,18.0532991083271,32.9267535890706,37.9998678480372,67.1204282736087,62.8630205237941,1.91333654550521,88.0,55.7361012258725,55.0,97.5930270060116,51.4,12.3133543232651,136.0,62.1743913124776,19.8694081250933,5.0,75.9929547463753,0.0,0
116,1.0,18.0,4.0,1.4207,318.0,751.0,45.0,765.0,294.0,925.0,18.0,21.0,89.0,94.0,14.0,2775.0,46.0,90.0,249.0,0.0,38.0,19.0,28.0,246.0,0.0,5.0,633.0,2.0,7.0,487.0,0.0,93.3616352201258,16.6340197170497,62.3656138717078,174.624474208078,72.8730661152298,15.6968374746239,39.4036932771777,117.120318334212,3.75296846631747,19.9257641888245,69.0,35.4948404046263,29.6347027679927,30.7751800924637,21.2167605847909,0.0,48.5834844455894,193.453795112958,30.7600245264698,48.1439514643317,0.0,54.6666666666667,55.6841576680443,0.0,4.0,45.1798677665413,0.0,1
117,1.0,27.0,5.0,1.368,134.0,886.0,0.0,13.0,44.0,130.0,0.0,191.0,16.0,2.0,512.0,1307.0,7.0,63.0,25.0,0.0,0.0,33.0,9.0,2.0,1.0,384.0,875.0,23.0,10.0,127.0,0.0,68.0522388059701,3.88892254207402,0.0,254.333333333333,132.029938415947,20.7460526274169,0.0,82.9471758101011,2.92523597865901,53.0,33.4021218154886,11.257619202804,82.0,39.7155664836451,10.6533495270498,0.0,0.0,36.4191126765442,65.0,0.0,14.0,30.6433431941865,65.1535394316987,17.3,55.8002227423176,13.6018377733542,0.0,1
118,1.0,23.0,5.0,1.3298,31.0,247.0,0.0,185.0,21.0,729.0,0.0,14.0,36.0,459.0,0.0,3754.0,8.0,0.0,23.0,0.0,0.0,19.0,30.0,0.0,38.0,0.0,468.0,99.0,30.0,10.0,0.0,0.0,11.2250171768691,0.0,64.6922338731609,38.4444444444444,9.05799337158024,0.0,24.0,2.52480991578425,27.5085879179505,0.0,50.7828785128855,0.0,0.0,6.34589065663631,0.0,0.0,27.7818536601826,47.4080371096275,0.0,22.6816821947503,0.0,66.5670454170264,5.01798227679874,23.8640364083808,0.0,0.0,0
