,Gender,Age,Education_lev,fluidIQ,freq_calls,freq_Tools,freq_Finance,freq_Games,freq_Entertainment,freq_Productivity,freq_Personalization,freq_News...Magazines,freq_Unknown,freq_Photography,freq_Shopping,freq_Communication,freq_Books...Reference,freq_Travel...Local,freq_Music...Audio,freq_Medical,freq_Education,freq_Business,freq_Lifestyle,freq_Transportation,freq_Weather,freq_Sports,freq_Browser,freq_Health...Fitness,freq_Media...Video,freq_Social,freq_Comics,dur_calls,dur_Tools,dur_Finance,dur_Games,dur_Entertainment,dur_Productivity,dur_Personalization,dur_News...Magazines,dur_Unknown,dur_Photography,dur_Shopping,dur_Communication,dur_Books...Reference,dur_Travel...Local,dur_Music...Audio,dur_Medical,dur_Education,dur_Business,dur_Lifestyle,dur_Transportation,dur_Weather,dur_Sports,dur_Browser,dur_Health...Fitness,dur_Media...Video,dur_Social,dur_Comics,Emotional Stability,Extraversion,Openness,Conscientiousness,Openness
15,2,25,5,0.6056,154,132,0,0,15,73,0,0,9,58,0,1262,0,20,2,0,7,0,0,0,0,0,71,0,0,10,0,0,35.29087098,0,0,76.46004835,24.38221431,0,0,14.18154992,40.85563659,0,48.9017588,0,106.7167159,0,0,59.13207185,0,0,0,0,0,152.1611486,0,0,43.88012594,0,1,0,1,0,1
16,2,19,4,0.9034,253,300,0,0,19,55,0,22,14,227,0,2083,13,24,7,0,0,12,0,48,6,0,99,0,13,275,0,0,24.80403033,0,0,51.33335123,42.26528563,0,18.67823832,2.798900498,26.22566118,0,27.12344478,74.0712812,77.70095141,0,0,0,23.83333333,0,70.93586182,2,0,70.28008677,0,36.85714286,100.3825062,0,0,0,1,0,1
17,2,20,4,0.9763,134,111,7,0,19,374,0,11,25,93,16,1326,69,73,37,0,0,10,4,56,0,0,311,52,4,736,0,35.86567164,26.81980462,49.74674015,0,322.7049866,22.13685638,0,18.23501734,3.56835012,10.12003705,72.08841867,28.58730421,34.04777105,52.89571064,22.3243247,0,0,16.6,0,60.04408292,0,0,72.82007,58.99006406,46.20680766,67.87937509,0,1,1,1,1,1
18,2,21,3,1.5184,20,122,0,22,1,46,0,0,25,151,0,1249,18,2,56,0,0,39,0,63,1,0,333,3,0,333,0,0,41.92420487,0,696.4761905,18,30.27404033,0,0,4.472518316,21.06740596,0,36.78126246,37.88576299,151,12.76581107,0,0,60.66311972,0,61.14242353,24,0,73.73065369,518,0,57.59461227,0,1,1,1,1,1
19,1,31,5,-0.2644,601,326,146,110,41,1761,13,53,5677,135,39,3827,5,90,223,0,15,95,8,54,12,0,368,0,45,206,0,91.44093178,18.02691362,64.94546975,70.94576297,100.8522865,15.56651729,12.4866773,98.29350974,5.518634681,18.95965316,76.61582385,30.7142606,329.6666667,39.66230683,73.35106529,0,171.8654683,37.67907113,149.5072684,86.56350127,18.472883,0,39.62729832,0,56.46731251,35.39333417,0,0,1,1,1,1
20,1,23,4,0.0911,416,1428,56,14,307,529,6,50,1052,190,51,2111,32,73,72,0,0,4,59,153,8,0,1103,0,59,142,0,163.1442308,8.792905994,44.76514585,0,14.43791669,3.863383741,6.988013785,25.46345745,4.898367132,9.828503235,37.93265886,17.63653292,17.3978326,17.24094408,4.895117048,0,0,7.810025336,43.91596641,42.21875876,17.5,0,35.5666837,0,13.73879434,24.39149164,0,0,0,1,1,1
21,1,18,4,0.9713,129,134,0,153,15,313,0,85,16,32,0,643,4,4,60,0,4,2,2,18,24,0,529,0,4,752,0,39.52713178,22.7973898,0,146.0914227,50.02870278,46.76677506,0,108.5040727,3.271526917,21.50920126,0,27.37940549,0,0,11.65282578,0,0,0,0,42.16015481,10.23401946,0,121.4221582,0,0,81.69538543,0,1,0,0,1,0
22,2,28,4,-0.3466,124,112,0,2,101,160,2,25,16,379,19,1913,4,67,393,0,4,2,271,42,83,0,274,19,4,1041,0,42.66935484,15.05240127,0,95,123.0148992,65.23882023,0,78.17684948,4.939316216,76.472071,335.3163544,76.05765063,0,61.42437992,43.15966995,0,0,43,207.9734337,52.81629006,47.13364922,0,93.94123767,58.66666667,0,112.1913337,0,1,1,0,0,0
23,2,20,4,0.082,209,245,0,243,35,119,0,0,25,194,23,1769,13,48,40,0,0,23,0,134,44,0,411,0,61,303,0,55.6937799,11.29367239,0,74.17537699,167.9766378,24.54699763,0,0,3.224737975,19.05312019,34.64306662,31.9663937,35.29183203,51.16850145,43.12176279,0,0,41.54785039,0,50.81745255,8.342008316,0,83.09725995,0,47.56951088,50.79051185,0,1,1,0,0,0
24,2,50,2,-0.9661,98,56,0,0,12,103,0,12,4,144,0,1882,4,8,6,0,0,2,0,4,0,0,72,0,75,9,0,0,26.66676167,0,0,0,21.39204637,0,0,10.74449164,32.626398,0,60.74489784,0,0,0,0,0,35,0,56,0,0,51.54325809,0,31.9746321,4,0,0,0,0,1,0
