"";"ID";"Gender";"Age";"Education_lev";"fluidIQ";"Emotional.Stability..N.";"Carefreeness..N1.";"Equanimity..N2.";"Positive.mood..N3.";"Self.consciousness..N4.";"Self.control..N5.";"Emot..robustness..N6.";"Extraversion..E.";"Friendliness..E1.";"Sociableness..E2.";"Assertiveness..E3.";"Dynamism..E4.";"Adventurousness...E5.";"Cheerfulness..E6.";"Openness..O.";"Openn..to.imagin...O1.";"Openn..to.aesth...O2.";"Openn..to.feel...O3.";"Openn..to.actions..O4.";"Openn..to.ideas..O5.";"Openn..to.val..norm...O6.";"Conscientiousness..C.";"Competence..C1.";"Love.of.order..C2.";"Sense.of.duty..C3.";"Ambition..C4.";"Discipline..C5.";"Caution..C6.";"Agreeableness..A.";"Willingness.to.trust..A1.";"Genuineness..A2.";"Helpfulness..A3.";"Obligingness..A4.";"Modesty..A5.";"Good.naturedness..A6.";"freq_calls";"freq_Tools";"freq_Finance";"freq_Games";"freq_Entertainment";"freq_Productivity";"freq_Personalization";"freq_News...Magazines";"freq_Unknown";"freq_Photography";"freq_Shopping";"freq_Communication";"freq_Books...Reference";"freq_Travel...Local";"freq_Music...Audio";"freq_Medical";"freq_Education";"freq_Business";"freq_Lifestyle";"freq_Transportation";"freq_Weather";"freq_Sports";"freq_Browser";"freq_Health...Fitness";"freq_Media...Video";"freq_Social";"freq_Comics";"mydatatest.avg_duration_calls";"dur_Tools";"dur_Finance";"dur_Games";"dur_Entertainment";"dur_Productivity";"dur_Personalization";"dur_News...Magazines";"dur_Unknown";"dur_Photography";"dur_Shopping";"dur_Communication";"dur_Books...Reference";"dur_Travel...Local";"dur_Music...Audio";"dur_Medical";"dur_Education";"dur_Business";"dur_Lifestyle";"dur_Transportation";"dur_Weather";"dur_Sports";"dur_Browser";"dur_Health...Fitness";"dur_Media...Video";"dur_Social";"dur_Comics"
"113";87358;1;25;5;1,2022;2,5201;3,236;3,266;5,595;2,914;2,299;5,526;1,71;5,413;2,692;3,333;2,982;3,061;6,088;1,809;4,128;-0,018;4,215;5,419;5,515;2,314;1,8143;3,785;1,16;3,62;5,857;5,747;5,747;1,8009;1,875;2,684;4,775;3,705;1,923;6,402;173;1041;0;30;63;116;4;6;737;141;19;1919;4;18;382;0;9;0;12;26;50;0;240;205;14;872;0;53,5317919075145;5,03909163889543;0;89,0072063578148;50,3136422492295;18,6247320781336;0;0;3,04062305322346;8,10243092842466;35,6537913016466;14,6978127925836;0;37,025066695892;7,05241931919547;0;273,865470646262;0;0,75;46,6348003404506;10,4214835754341;0;30,4098625096632;37,5995564196877;18,9372873962633;44,4660182293028;0
"114";88988;2;19;4;0,592;0,0159;0,024;0,492;1,817;0,776;0,11;0,551;-0,3395;1,11;1,018;-0,728;0,837;0,107;1,172;-0,3968;0,815;-0,475;3,368;1,18;-0,018;0,94;-0,7546;0,216;-1,427;2,082;0,936;-0,227;0,544;0,3308;2,767;1,683;2,712;0,041;1,419;2,487;71;208;0;88;62;130;0;26;19;132;15;1591;2;52;123;0;0;0;159;34;1;38;505;104;17;1351;2;0;18,0744017831159;0;1148,88536472953;91,0965658708379;24,2111732460454;0;124,201592420395;4,75273527853768;26,1372614482535;98,6462596468376;53,2678023332687;0;46,500555486798;15,2366109432801;0;0;0;17,8800475596068;61,161385244401;21;49,2000314826418;48,3991485930356;69,0891000030739;35,2978138480434;73,1344101360481;0
"115";89849;1;21;4;0,6111;-0,42;0,51;-0,357;0,072;-0,815;1,36;0,071;-1,6782;-1,698;-1,525;-0,252;-1,456;-2,496;-1,655;-0,927;-0,539;-0,169;-1,955;-1,691;2,193;0,753;-0,0561;0,462;1,687;2,401;1,902;1,496;1,139;-1,0734;0,194;-0,268;0,2;0,277;-1,273;0,042;44;399;3;653;71;358;0;96;92;200;27;633;104;89;26;3;50;10;216;23;4;1;450;290;32;2282;0;23,5;18,3616723351027;12;70,5852451516176;58,7322231763823;14,4378036873723;0;158,668873649906;3,54565223109203;18,0532991083271;32,9267535890706;37,9998678480372;67,1204282736087;62,8630205237941;1,91333654550521;88;55,7361012258725;55;97,5930270060116;51,4;12,3133543232651;136;62,1743913124776;19,8694081250933;5;75,9929547463753;0
"116";90885;1;18;4;1,4207;0,7845;1,991;1,524;2,63;1,623;0,944;0,786;0,5906;3,159;2,391;-0,013;1,777;1,438;3,663;0,0986;1,305;0,606;3,755;1,443;1,584;1,132;-0,2227;0,722;2,251;2,401;1,255;0,862;0,272;1,0854;0,653;2,321;3,558;2,2;1,664;5,167;318;751;45;765;294;925;18;21;89;94;14;2775;46;90;249;0;38;19;28;246;0;5;633;2;7;487;0;93,3616352201258;16,6340197170497;62,3656138717078;174,624474208078;72,8730661152298;15,6968374746239;39,4036932771777;117,120318334212;3,75296846631747;19,9257641888245;69;35,4948404046263;29,6347027679927;30,7751800924637;21,2167605847909;0;48,5834844455894;193,453795112958;30,7600245264698;48,1439514643317;0;54,6666666666667;55,6841576680443;0;4;45,1798677665413;0
"117";91278;1;27;5;1,368;0,3004;0,51;1,311;1,323;1,199;1,15;0,551;-0,4658;-0,401;1,826;0,473;0,837;-2,847;1,85;-0,4879;0,815;0,134;1,28;-0,094;0,727;1,132;0,2705;0,997;5,669;2,401;0,341;1,496;2,084;-0,4062;-0,929;0,615;0,753;1,898;0,302;1,223;134;886;0;13;44;130;0;191;16;2;512;1307;7;63;25;0;0;33;9;2;1;384;875;23;10;127;0;68,0522388059701;3,88892254207402;0;254,333333333333;132,029938415947;20,7460526274169;0;82,9471758101011;2,92523597865901;53;33,4021218154886;11,257619202804;82;39,7155664836451;10,6533495270498;0;0;36,4191126765442;65;0;14;30,6433431941865;65,1535394316987;17,3;55,8002227423176;13,6018377733542;0
"118";91689;1;23;5;1,3298;-1,566;-2,583;-0,357;-3,034;-1,316;0,739;-1,216;-1,0755;-0,164;0,5;-0,728;-1,182;-0,354;-1,005;-1,0084;1,058;0,134;3,017;-1,013;-0,853;-0,582;-0,3299;-0,236;0,905;1,495;1,255;1,175;1,768;-0,8934;-3,086;-0,268;1,351;-0,404;1,184;0,389;31;247;0;185;21;729;0;14;36;459;0;3754;8;0;23;0;0;19;30;0;38;0;468;99;30;10;0;0;11,2250171768691;0;64,6922338731609;38,4444444444444;9,05799337158024;0;24;2,52480991578425;27,5085879179505;0;50,7828785128855;0;0;6,34589065663631;0;0;27,7818536601826;47,4080371096275;0;22,6816821947503;0;66,5670454170264;5,01798227679874;23,8640364083808;0;0
"119";91709;2;40;4;1,5039;0,07;0,51;0,075;0,585;1,41;1,575;0,551;0,0233;1,633;-0,499;0,976;1,777;0,554;2,527;0,7478;2,09;2,075;3,368;2,849;2,854;1,332;0,527;2,901;2,559;2,749;1,255;2,447;2,726;-0,2352;0,653;1,394;-0,059;1,606;1,184;1,67;149;83;0;0;39;39;0;0;7;66;0;620;10;48;3;0;6;7;0;47;27;5;62;0;4;0;0;37,2818791946309;23,0116153367314;0;0;800,921008378061;32,655289347958;0;0;4,81505802168736;27,4520274568101;0;71,8421341714537;552,5;134,367537166631;34;0;6,65334817433166;117,571428571429;0;100,360241297214;19,6000353224909;16;156,074907933184;0;0;0;0
"120";92814;2;22;4;0,8666;0,4913;0,024;0,696;1,568;1,41;2,038;2,263;1,1473;2,472;2,391;5,613;4,129;-0,59;3,663;0,515;2,699;0,134;1,28;1,974;3,235;1,545;0,9417;1,889;1,421;2,401;3,586;5,747;2,726;-0,1024;1,123;0,862;2,712;1,046;0,516;0,389;305;129;0;83;0;68;0;4;5;64;0;1650;2;17;41;0;2;0;11;72;0;2;294;0;40;6;0;80,3311475409836;15,1663671221322;0;215,99432436654;0;19,8722434063129;0;0;2,42614319176472;17,2483817477852;0;32,133460660555;0;67,3894025523274;28,3822876976685;0;93;0;87;50,2362830910092;0;0;123,434013388737;0;490,832947112738;0;0
"121";93127;2;19;4;0,9547;-0,9162;-1,488;-0,58;0,585;0,123;-1,045;-0,951;-0,0391;1,633;1,553;1,235;1,154;-0,121;1,172;-0,9415;0,343;-0,795;2,345;-0,331;-0,451;0,197;-1,0272;0,722;-1,674;-0,004;1,255;-0,463;-0,226;-0,2393;3,137;1,121;1,997;-1,027;-0,112;1,67;627;1137;359;519;98;256;0;21;763;507;111;6092;43;47;87;35;4;112;10;210;0;0;659;9;17;2080;0;113,188197767145;3,25891976000833;22,1787792734636;118,901202723305;89,5399164934853;12,3469188405742;0;2;2,11883523322424;6,46908201168377;45,3205994961835;19,6743015730607;38,9236132643042;53,4614403237077;10,2852181091888;3,66074731498252;5,97003341134764;24,2888402907863;70,8;37,6672435252146;0;0;59,3989106661915;12,6167210977951;39,4;101,118180579922;0
"122";93654;2;23;4;0,9769;-1,0914;-0,974;-0,58;-1,252;0,123;-0,334;-1,484;-0,3941;2,793;3,018;-1,468;-0,909;0,107;-0,051;-0,6389;-0,539;-0,321;2,68;0,917;-0,018;0,94;-0,762;-0,236;0,176;1,782;0,341;-0,227;0,544;0,5678;0,653;0,615;1,667;2,517;1,923;5,167;176;246;0;30;31;65;0;15;7;42;1;1493;14;31;196;48;0;1;20;78;0;0;274;120;19;879;0;43,5795454545455;11,6916549519612;0;350,637954393056;191,689839841656;15,3575124528075;0;4;3,78809739370455;43,7779238554602;0;24,3839781053845;23,8428772673416;53,8455487446409;14,2758747458229;4,65543038641333;0;27;0;47,5528035446266;0;0;54,0818843901949;6,09459366009091;20,2400511819492;46,9481330763828;0
