"Name","Category_old","Category_new"
"Alarm Calendar Plus","Lifestyle","Tools"
"Alben","Unknown","Photography"
"Alben","Media &amp; Video","Photography"
"Alben Widget","Unknown","Photography"
"AlbumMapView","Unknown","Photography"
"Alnatura","Unknown","Lifestyle"
"Amazon Kindle","Books &amp; Reference","Books & Reference"
"Amazon MP3","Music &amp; Audio","Music & Audio"
"Amber","Unknown","News & Magazines"
"AndroZip File Manager","Productivity","Tools"
"Animiertes Foto","Unknown","Photography"
"Aptoide","Unknown","Tools"
"AquaMail Pro Unlocker","Productivity","Communication"
"Ask.fm","Social","Music & Audio"
"Audiobooks","Books &amp; Reference","Music & Audio"
"Audiobooks Search","Education","Music & Audio"
"AudioFX","Unknown","Music & Audio"
"Auto-Hochlad. (Foto)","Unknown","Photography"
"Auto upload(photo)","Unknown","Photography"
"Aviate","Personalization","Unknown"
"börsenNEWS","Finance","News & Magazines"
"Back up & restore","Unknown","Tools"
"Back up and restore","Unknown","Tools"
"Benutzer-Wörterbuch","Unknown","Books & Reference"
"Benutzerwörterbuch","Unknown","Books & Reference"
"Binaural Beats Music 发布","Unknown","Music & Audio"
"Browser","Unknown","Communication"
"BrowserMessage","Unknown","Communication"
"BSPlayer FREE","Media &amp; Video","Entertainment"
"Bußgeldrechner","Transportation","Tools"
"Burning vegetables 2","Unknown","Casual"
"Calculadora","Unknown","Tools"
"Calculator","Unknown","Tools"
"CalculatorMem Lite","Productivity","Tools"
"Calendar","Unknown","Productivity"
"Calendar Widget","Unknown","Productivity"
"Calendario","Unknown","Productivity"
"Camera","Unknown","Photography"
"Camera common","Unknown","Photography"
"Camera Scanner","Tools","Photography"
"Camera test","Unknown","Photography"
"Camera Test","Unknown","Photography"
"CamScanner Voll Version","Productivity","Tools"
"ChatON Voice & Video Chat","Unknown","Media & Video"
"Clock","Unknown","Tools"
"Clock (digital)","Unknown","Tools"
"Clock (funky)","Unknown","Tools"
"Clock (modern)","Unknown","Tools"
"Clock widget","Unknown","Tools"
"Clocks","Unknown","Tools"
"COLLAPSE Holiday Edition","Puzzle","Tools"
"Contacto del móvil","Unknown","Communication"
"Contactos","Unknown","Communication"
"Contactos principales","Unknown","Communication"
"Contacts","Unknown","Communication"
"Cubomusica","Music &amp; Audio","Music & Audio"
"Digital clock","Unknown","Tools"
"DioDict NewAce English-Korean Dictionary DB","Unknown","Education"
"Dock Clock","Lifestyle","Tools"
"Download MP3","Unknown","Music & Audio"
"Download music info","Unknown","Music & Audio"
"Drawing Board","Unknown","Productivity"
"Drawing tablet","Unknown","Productivity"
"Dream Talk Recorder","Lifestyle","Productivity"
"DroidEdit Free","Productivity","Tools"
"DS photo+","Media &amp; Video","Photography"
"Dual-Uhr (analog)","Unknown","Tools"
"Dual-Uhr (digital)","Unknown","Tools"
"Dual Clock (analog)","Unknown","Tools"
"Dual Clock (analogue)","Unknown","Tools"
"Dual Clock (digital)","Unknown","Tools"
"EA Games","Unknown","Entertainment"
"EA Games Flat","Unknown","Entertainment"
"Eagles","Unknown","Role Playing"
"Eddy","Unknown","Music & Audio"
"Editor fotográfico","Unknown","Tools"
"egoFM","Music &amp; Audio","Music & Audio"
"Eieruhr Free","Lifestyle","Tools"
"Eigenes Wörterbuch","Unknown","Books & Reference"
"Einfacher Wecker","Unknown","Tools"
"Einzelhandelsdemo","Unknown","Business"
"Electrical calculations PRO Key","Productivity","Tools"
"Email-Widget","Unknown","Communication"
"Erde","Unknown","Personalization"
"F24C","Unknown","Tools"
"FahrInfo Muenchen","Unknown","Transportation"
"Fantasy Journey","Unknown","Role Playing"
"FBiX Music Likes","Unknown","Music & Audio"
"File Manager","Productivity","Tools"
"File Manager","Unknown","Tools"
"Finanznachrichten","Unknown","Finance"
"Firefox","Communication","Browser"
"FireWire battlefield","Unknown","Action"
"FlashlightGL","Productivity","Tools"
"FM-Radio","Unknown","Music & Audio"
"FM radio","Unknown","Music & Audio"
"FM Radio","Unknown","Music & Audio"
"FM Radio Widget","Unknown","Music & Audio"
"Foto-Diashow","Unknown","Photography"
"Foto-Editor","Photography","Tools"
"Foto-Editor","Unknown","Tools"
"Foto-Widget","Unknown","Photography"
"Foto Optimierung","Unknown","Photography"
"Fotoalbum","Unknown","Photography"
"Fotonotiz","Unknown","Productivity"
"Fotos","Unknown","Photography"
"Fotos und Videos","Unknown","Photography"
"Fotos y vídeos","Unknown","Photography"
"Freaking Math","Puzzle","Education"
"Free Music Download","Unknown","Music & Audio"
"FREEdi YouTube Downloader","Unknown","Entertainment"
"FREEdi YT Player","Unknown","Entertainment"
"Freeletics","Unknown","Health & Fitness"
"Freeletics","Health &amp; Fitness","Health & Fitness"
"FreeWifi Connect","Communication","Tools"
"Gallery","Unknown","Photography"
"Games Shop","Unknown","Entertainment"
"Geo News","Unknown","News & Magazines"
"Geography Learning","Educational","Education"
"Geschichte Album Widget","Unknown","Photography"
"Go Pikachu","Unknown","Adventure"
"Google Play Magazines","News &amp; Magazines","News & Magazines"
"Google Play Movies & TV","Media &amp; Video","Entertainment"
"Google Play Musik","Music &amp; Audio","Music & Audio"
"Google Play Newsstand","News &amp; Magazines","News & Magazines"
"Google Search","Unknown","Tools"
"Hancom Office Viewer","Unknown","Business"
"Handbuch","Unknown","Books & Reference"
"HD Audio Recorder Pro","Music &amp; Audio","Productivity"
"Heimwerker-Rechner","Productivity","Tools"
"HFM","Unknown","Music & Audio"
"How to Draw One Piece","Unknown","Productivity"
"ideasmusik","Unknown","Music & Audio"
"InkPad NotePad","Tools","Productivity"
"InNote","Tools","Productivity"
"Instant Video","Unknown","Media & Video"
"Internetradio","Unknown","Music & Audio"
"IQIYI Video","Unknown","Media & Video"
"iTube","Unknown","Entertainment"
"iTube PRO","Unknown","Entertainment"
"jetAudio Basic","Music &amp; Audio","Music & Audio"
"Jin Yong","Unknown","Books & Reference"
"Kameras","Unknown","Photography"
"Kanji draw","Education","Productivity"
"Kaspersky Internet Security","Unknown","Tools"
"kaufDA Navigator","Unknown","Shopping"
"Kies Air","Unknown","Tools"
"Kindle","Unknown","Books & Reference"
"KK Movie Maker","Media &amp; Video","Media & Video"
"Klingelton-Editor","Unknown","Tools"
"Kritzeln","Unknown","Productivity"
"Last.fm","Music &amp; Audio","Music & Audio"
"Latein-Deutsch Schulwörterbuch","Education","Books & Reference"
"Learning Hub","Unknown","Education"
"LibreOffice Viewer","Productivity","Business"
"Lieblingsvideos","Unknown","Media & Video"
"Lit","Unknown","Tools"
"Live-
Wetter","Unknown","Weather"
"Magine TV","Media &amp; Video","Entertainment"
"Mail-Widget","Unknown","Communication"
"Math Workout","Puzzle","Education"
"MathStep","Tools","Education"
"McAfee Security","Productivity","Tools"
"Medien Home","Unknown","Media & Video"
"Medienausgabe","Media &amp; Video","Media & Video"
"Mega Jump","Unknown","Arcade"
"Memo-Widget","Unknown","Tools"
"Memo Widget","Unknown","Tools"
"Memoria","Unknown","Tools"
"Memory Match","Unknown","Tools"
"Messaging","Unknown","Communication"
"Mini-Tagebuch","Unknown","Books & Reference"
"MobileTV","Media &amp; Video","Entertainment"
"Movie Creator","Photography","Media & Video"
"Movie Creator","Unknown","Media & Video"
"Movies","Unknown","Media & Video"
"MP3-Player","Unknown","Music & Audio"
"MP3 Cutter & Ringtone Maker","Unknown","Music & Audio"
"mp3 cutter Fusion","Music &amp; Audio","Music & Audio"
"Mp3 Download","Unknown","Music & Audio"
"Mp3 Downloader 2015","Unknown","Music & Audio"
"Mp3 Music","Unknown","Music & Audio"
"Mp3 Music Download","Unknown","Music & Audio"
"MP3 Video Konverter","Music &amp; Audio","Music & Audio"
"MTK Dual Sim Shortcut","Unknown","Tools"
"MTV Music","Unknown","Entertainment"
"Multi-Foto","Unknown","Photography"
"Music Download Paradise Pro","Unknown","Music & Audio"
"music HD","Unknown","Music & Audio"
"Music Hub","Music &amp; Audio","Music & Audio"
"Music Player","Unknown","Music & Audio"
"Musical Lite","Music &amp; Audio","Music & Audio"
"MusicFX","Unknown","Music & Audio"
"MusicLab Mp3 Downloader","Unknown","Music & Audio"
"Musik-Player","Unknown","Music & Audio"
"Musik-Widget","Unknown","Music & Audio"
"Musik Optimierung","Unknown","Music & Audio"
"Musik und Videos von Freunden","Unknown","Music & Audio"
"Musikinfos abrufen","Unknown","Music & Audio"
"Musikplayer","Unknown","Music & Audio"
"mVideoCut","Unknown","Media & Video"
"MX Player","Media &amp; Video","Entertainment"
"MX Player Pro","Media &amp; Video","Entertainment"
"My Video","Media &amp; Video","Media & Video"
"MyAlbum","Social","Photography"
"myGuard","Unknown","Tools"
"n-tv TopNews","Unknown","News & Magazines"
"N.O.V.A. 2","Unknown","Action"
"N.O.V.A. 3","Unknown","Action"
"NeoReader","Shopping","Tools"
"NeoReader","Unknown","Tools"
"News","Unknown","News & Magazines"
"News & Weather","News &amp; Magazines","News & Magazines"
"News Widget","Unknown","News & Magazines"
"Nexus Gallery","Unknown","Photography"
"Ninjump Dash","Racing","Arcade"
"Notebook","Unknown","Productivity"
"NotePad","Unknown","Productivity"
"Notes","Unknown","Productivity"
"Notizen-Widget","Unknown","Productivity"
"Notizenmaler","Unknown","Productivity"
"Nova","Unknown","Action"
"Ocean weather","Unknown","Weather"
"Offline Woerterbuch","Books &amp; Reference","Books & Reference"
"Online TV Recorder","Unknown","Productivity"
"Opera Mini","Unknown","Browser"
"Outlook","Productivity","Communication"
"PagePlace","Unknown","Books & Reference"
"party games","Casual","Entertainment"
"PDF Reader","Books &amp; Reference","Productivity"
"PDF Viewer","Unknown","Productivity"
"PeaPod","Unknown","Shopping"
"Phone contact","Unknown","Communication"
"Photo editor","Unknown","Tools"
"Photo Editor","Photography","Tools"
"Photo Editor Pro","Photography","Tools"
"Photo slideshow","Unknown","Photography"
"Photo wall","Unknown","Photography"
"Photo Wall","Unknown","Photography"
"Photo Editor","Photography","Tools"
"PhotoCollage Maker","Unknown","Photography"
"PhotoPhase","Unknown","Photography"
"Photos and videos","Unknown","Photography"
"PhotoWidget","Unknown","Photography"
"Physiologie","Unknown","Education"
"Picasa Web Albums","Unknown","Photography"
"PillReminder","Unknown","Medical"
"PlayerPro","Music &amp; Audio","Entertainment"
"PlayMemories Mobile","Media &amp; Video","Puzzle"
"PlayMemories Online","Photography","Puzzle"
"PlayNow™","Unknown","Entertainment"
"PlayStation Mobile","Unknown","Entertainment"
"PlayTube","Unknown","Entertainment"
"PlayTube FREE","Unknown","Entertainment"
"Polaris Office","Productivity","Business"
"Polaris Office","Unknown","Business"
"Polaris Office 4","Unknown","Business"
"Polaris Office 4.0","Unknown","Business"
"POLARIS Office 5","Productivity","Business"
"POLARIS Office 5","Unknown","Business"
"POLARIS Office Viewer 5","Unknown","Business"
"Polaris Viewer 4.1","Unknown","Business"
"Postillon Newsticker","News &amp; Magazines","News & Magazines"
"Presentación de fotos","Unknown","Photography"
"ProtectedMediaScanner","Unknown","Tools"
"ProtectedMediaScannerTrigger","Unknown","Tools"
"Qinshiming","Unknown","Role Playing"
"Qphoto Lite","Unknown","Photography"
"Quick EFA","Unknown","Transportation"
"QuickMemo","Unknown","Tools"
"Quickoffice, Inc.","Unknown","Business"
"Quickoffice®","Unknown","Business"
"QuickRemote","Unknown","Tools"
"Radio FG","Unknown","Music & Audio"
"Radio FM","Unknown","Music & Audio"
"Radio FM","Music &amp; Audio","Music & Audio"
"Radio Galaxy","Music &amp; Audio","Music & Audio"
